trophicGroup,experiment,year,region,annual_mean,annual_sd,annual_mean_u,annual_mean_l
Carni,ssp126,1994,Tropical,0.008116499629848279,0.38450101571126954,0.39261751534111783,-0.37638451608142126
Carni,ssp126,1995,Tropical,0.020342068678484326,0.5404665365292622,0.5608086052077466,-0.5201244678507779
Carni,ssp126,1996,Tropical,0.020781485952662476,0.4204674493561531,0.4412489353088156,-0.3996859634034906
Carni,ssp126,1997,Tropical,0.0661700626349113,0.3377779430101892,0.4039480056451005,-0.2716078803752779
Carni,ssp126,1998,Tropical,0.0629279652646456,0.3843029243092948,0.4472308895739404,-0.3213749590446492
Carni,ssp126,1999,Tropical,0.06866094494825757,0.29955936513199005,0.36822031008024764,-0.23089842018373247
Carni,ssp126,2000,Tropical,0.049197988165433526,0.523899140925187,0.5730971290906205,-0.47470115275975344
Carni,ssp126,2001,Tropical,0.11945816925886767,0.40977197024045436,0.5292301394993221,-0.2903138009815867
Carni,ssp126,2002,Tropical,0.16072846717203032,0.5079439460384388,0.6686724132104691,-0.3472154788664085
Carni,ssp126,2003,Tropical,0.16655091089247825,0.5139247078867953,0.6804756187792735,-0.3473737969943171
Carni,ssp126,2004,Tropical,0.1524705366865836,0.4450211551532703,0.5974916918398538,-0.2925506184666867
Carni,ssp126,2005,Tropical,0.13361127147722074,0.3876864223597382,0.5212976938369589,-0.2540751508825175
Carni,ssp126,2006,Tropical,0.15592274043238155,0.44655296034089936,0.6024757007732809,-0.2906302199085178
Carni,ssp126,2007,Tropical,0.1350466795962274,0.5970912380746799,0.7321379176709073,-0.4620445584784525
Carni,ssp126,2008,Tropical,0.1440452914448586,0.4672418257965329,0.6112871172413915,-0.3231965343516743
Carni,ssp126,2009,Tropical,0.09802617915746108,0.5721292930826584,0.6701554722401194,-0.4741031139251973
Carni,ssp126,2010,Tropical,0.08250582244645661,0.4911385082542516,0.5736443307007082,-0.408632685807795
Carni,ssp126,2011,Tropical,0.1139384677509323,0.6543721479691358,0.7683106157200681,-0.5404336802182035
Carni,ssp126,2012,Tropical,0.14605770502083945,0.6258347969744713,0.7718925019953108,-0.47977709195363183
Carni,ssp126,2013,Tropical,0.18050053456574697,0.4731399297970832,0.6536404643628302,-0.2926393952313362
Carni,ssp126,2014,Tropical,0.15976472100680567,0.5048932903965933,0.6646580114033989,-0.3451285693897876
Carni,ssp126,2015,Tropical,0.05029393274150484,0.8127512548248838,0.8630451875663886,-0.7624573220833789
Carni,ssp126,2016,Tropical,0.12055266493924358,0.4670375902829276,0.5875902552221711,-0.346484925343684
Carni,ssp126,2017,Tropical,0.16043510320993162,0.882662032359785,1.0430971355697167,-0.7222269291498534
Carni,ssp126,2018,Tropical,0.09152808402334521,0.5158102183495668,0.607338302372912,-0.4242821343262215
Carni,ssp126,2019,Tropical,0.16357549449387093,0.4481512625260012,0.6117267570198721,-0.28457576803213025
Carni,ssp126,2020,Tropical,0.141125188580783,0.5474688933515254,0.6885940819323084,-0.4063437047707424
Carni,ssp126,2021,Tropical,0.18379747153229065,0.5504168173916996,0.7342142889239902,-0.3666193458594089
Carni,ssp126,2022,Tropical,0.19233371099669985,0.5176759002078545,0.7100096112045543,-0.32534218921115465
Carni,ssp126,2023,Tropical,0.15395691808806802,0.6657908369148643,0.8197477550029323,-0.5118339188267963
Carni,ssp126,2024,Tropical,0.1398963616933583,0.5387021337468257,0.678598495440184,-0.39880577205346746
Carni,ssp126,2025,Tropical,0.15823261521584245,0.5556731089791159,0.7139057241949583,-0.3974404937632735
Carni,ssp126,2026,Tropical,0.15203783226310888,0.466443134601228,0.6184809668643368,-0.31440530233811914
Carni,ssp126,2027,Tropical,0.1757202481269815,0.492200250640338,0.6679204987673195,-0.3164800025133565
Carni,ssp126,2028,Tropical,0.18055807588144662,0.6586349397686587,0.8391930156501053,-0.4780768638872121
Carni,ssp126,2029,Tropical,0.19880119911437982,0.5560916035380219,0.7548928026524018,-0.35729040442364207
Carni,ssp126,2030,Tropical,0.23059670609435445,0.4905512875956797,0.7211479936900341,-0.2599545815013252
Carni,ssp126,2031,Tropical,0.22977970040869022,0.5105289655293369,0.7403086659380271,-0.2807492651206467
Carni,ssp126,2032,Tropical,0.21801513748825685,0.893217090823876,1.111232228312133,-0.6752019533356192
Carni,ssp126,2033,Tropical,0.28212856031163785,0.5214103382555069,0.8035388985671448,-0.239281777943869
Carni,ssp126,2034,Tropical,0.21151942455466516,0.5581767605473815,0.7696961851020467,-0.34665733599271636
Carni,ssp126,2035,Tropical,0.23242327766279003,0.515797940258374,0.748221217921164,-0.28337466259558397
Carni,ssp126,2036,Tropical,0.28453005599506,0.5193537986526079,0.8038838546476679,-0.2348237426575479
Carni,ssp126,2037,Tropical,0.2646512383458423,0.5573970886569393,0.8220483270027816,-0.29274585031109696
Carni,ssp126,2038,Tropical,0.2140043982803461,0.5605160931345621,0.7745204914149082,-0.34651169485421596
Carni,ssp126,2039,Tropical,0.22267246666408763,0.5472812173800379,0.7699536840441255,-0.32460875071595024
Carni,ssp126,2040,Tropical,0.20314780590343748,0.5161065295143985,0.719254335417836,-0.312958723610961
Carni,ssp126,2041,Tropical,0.23897641806671735,0.5056607600286356,0.7446371780953529,-0.26668434196191826
