order,family,scientificName,aphiaID,TG_latest,References
Calanoida,Sulcanidae,Sulcanus conflictus,355934,carnivore,"(Campbell et al., 2021)"
Calanoida,Temoridae,Temora discaudata,220898,omnivore,"(Richardson et al., 2006)"
Calanoida,Temoridae,Temora longicornis,104878,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) (Campbell et al., 2021)"
Calanoida,Temoridae,Temora stylifera,104879,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) (Campbell et al., 2021)"
Calanoida,Temoridae,Temora turbinata,104880,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022) (Campbell et al., 2021)"
Calanoida,Tortanidae,Tortanus (Tortanus) barbatus,720586,carnivore,"(Campbell et al., 2021)"
Calanoida,Tortanidae,Tortanus (Tortanus) gracilis,720560,carnivore,"(Campbell et al., 2021)"
Calanoida,Tortanidae,Tortanus discaudatus,157684,carnivore,"(Benedetti et al., 2022)"
Calanoida,Aetideidae,Undeuchaeta intermedia,196795,carnivore,"(Richardson et al., 2006)"
Calanoida,Aetideidae,Undeuchaeta major,104342,carnivore,"(Richardson et al., 2006)"
Calanoida,Aetideidae,Undeuchaeta plumosa,104343,carnivore,"(Richardson et al., 2006)"
Calanoida,Calanidae,Undinula vulgaris,104473,omnivore,"(Benedetti et al., 2022)"
Copelata,Fritillariidae,Fritillaria pellucida,103386,filter-feeder,Appendicularian
Copelata,Fritillariidae,Appendicularia,103357,filter-feeder,Appendicularian
Copelata,Fritillariidae,Fritillaria,103358,filter-feeder,Appendicularian
Copelata,Oikopleuridae,Oikopleuridae,103356,filter-feeder,Appendicularian
Copelata,Fritillariidae,Fritillariidae,103354,filter-feeder,Appendicularian
Copelata,Oikopleuridae,Oikopleura,103367,filter-feeder,Appendicularian
Ctenopoda,Sididae,Penilia avirostris,106272,omnivore,"(Kim et al., 1989) and Atienza et al (2006; 10.3354/meps315211) - filter-feeder"
Cyclopoida,Corycaeidae,Agetus flaccus,128795,carnivore,"(Benedetti et al., 2022) (Campbell et al., 2021)"
